finding,type,freq,curator_had,agent_added,agent_missed,my_verdict,my_severity,my_rationale,YOUR_VERDICT,CORRECT_ETIOLOGY,YOUR_SEVERITY,NOTES,description
abnormal right paratracheal stripe,omission,46179,inflammatory:infectious; neoplastic:malignant,-,inflammatory:infectious(x6); neoplastic:malignant(x6),curator-overcall,none,descriptive finding; curator pasted infectious+malignant; agent right to omit (mirror of hilar enlargement),Agent correct,Ñ,,,"Widening of the right paratracheal stripe beyond 4 mm on chest radiograph, which may indicate lymphadenopathy, tracheal pathology, or mediastinal mass."
abnormal sternomanubrial synchondrosis,over-call,46179,(none),developmental(x6); congenital(x6),-,unsure,?,"could be acquired (degenerative/inflammatory), not clearly formation; dev+cong may over-reach",Agent correct enough,Either of these or blank would be OK,,,An anomaly or irregularity at the junction between the sternum body and manubrium.
acute lung injury and ards in children,mixed,46179,inflammatory; inflammatory:infectious; toxic,traumatic:acute(x2),toxic(x6); inflammatory:infectious(x6); inflammatory(x2),under-call,moderate,missed main causes (infectious/toxic/inflammatory); occasional wrong-add trauma,Agent very wrong,Curator,,,Injury to the lungs in children leading to acute respiratory distress.
AO Spine Subaxial Cervical Spine injury Classification,omission,46179,traumatic:acute,-,traumatic:acute(x6),unsure,?,it's a classification (no etiology?) vs curator traumatic:acute; should classifications carry etiology?,Curator is right,Curator,Partial--justifiable to skip,,Cervical Spine Subaxial AO Injury Classification on CT
arterial rupture,mixed,46179,traumatic:acute; vascular:aneurysmal,vascular(x6),vascular:aneurysmal(x6),family-parentchild,small,gave parent 'vascular' instead of child 'vascular:aneurysmal',Agent more right,"vascular, could be traumatic or aneurysmal",Justifiable,,A tear through the full thickness of the wall of an artery.
early intrauterine pregnancy,mixed,46179,normal-variant,developmental(x6); congenital(x5),normal-variant(x6),wrong-off,large,"normal pregnancy not a malformation; should be normal-variant, substituted dev+cong",Curator is right,Curator,Pregnancy is tricky,,Initial stages of a pregnancy inside the uterus
fetal chest mass,mixed,46179,congenital; developmental; neoplastic:benign; neoplastic:malignant,neoplastic:potential(x2),neoplastic:benign(x6); neoplastic:malignant(x6); congenital(x4); developmental(x4),under-call,large,missed benign+malignant+formation; only added potential,Agent is right,neoplastic potential,,,An abnormal growth located in the fetal thoracic region.
focal shadowing pancreatic lesion,mixed,46179,neoplastic:potential,neoplastic:malignant(x6),neoplastic:potential(x6),family-sibling,small,"malignant vs curator potential; same neoplastic family, more confident",Curator is right,Curator,This is the worst miss--overcalling something malignant is BAD.,,"Local area of shadowing in the pancreas, suggestive of a mass."
increased resistance index of renal transplant,mixed,46179,iatrogenic:post-operative; vascular:ischemic; vascular:thrombotic,vascular(x3); iatrogenic:device(x1),vascular:thrombotic(x6); vascular:ischemic(x6); iatrogenic:post-operative(x4),unsure,?,parent vascular vs specific children + missed iatrogenic; should a measurement carry etiology?,Mixed,iatrogenic:post-operative; vascular,Partial,,"Elevation of the resistance index in a transplanted kidney, suggesting possible complications."
infratentorial intracranial tumor in a child,omission,46179,neoplastic:benign; neoplastic:malignant; neoplastic:potential,-,neoplastic:benign(x6); neoplastic:potential(x5); neoplastic:malignant(x1),under-call,moderate,a tumor should get neoplastic benign+malignant; agent under-called,Should be just neoplastic,Neoplastic,"Just an undercall, not as bad as overcalling",,"Tumor located below the tentorium cerebelli, common in pediatric brain tumors."
large orbit,over-call,46179,congenital,developmental(x6),-,unsure,?,developmental vs curator congenital (trio); but large orbit can be acquired (NF1/mass),OK,Could be either,No penalty,,An orbit that is larger than normal.
large vascular grooves of skull,omission,46179,developmental; normal-variant,-,developmental(x6),family-sibling,small,missed developmental (kept normal-variant); trio sibling,This is actually OK. ,"Develolpm,ental or normal-variant or congential triad",Triad,,"Prominent grooves on the inner table of the skull, indicate expanded venous channels."
lung sutures,mixed,46179,iatrogenic:device,iatrogenic:post-operative(x6),iatrogenic:device(x6),family-sibling,small,iatrogenic:post-operative vs device; both true,OK,iatrogenic:post-operative,Minor penalty,,"Surgical suture material within the lung parenchyma, typically from prior pulmonary resection."
Mastectomy Breast Implant,over-call,46179,iatrogenic:post-operative,iatrogenic:device(x6),-,family-sibling,small,"iatrogenic:device vs post-operative; both true, device arguably better",OK,Could be either,No penalty,,Finding related to mastectomy and breast implant
omega sella,mixed,46179,normal-variant,developmental(x6); congenital(x6),normal-variant(x6),wrong-trio,moderate,normal variant; should be normal-variant not dev+cong,Curator is right,Curator,Minor penalty ,,An omega-shaped enlarged sella turcica.
short thin distal phalanx of thumb,omission,46179,congenital; developmental; normal-variant,-,normal-variant(x6),family-sibling,small,"captured congenital+developmental, missed normal-variant; trio",OK,Dev/var/cong triad,No penalty,,Distal phalanx of the thumb that is both short and thin
